"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-08-31,"Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",44,1529,0.00459921156373193,0.0152722443559097,0.0193333333333333,156798
2019-08-31,"Oakland","CA","San Francisco-Oakland-Hayward","Alameda County",45,2975,0.00506756756756757,0.00813283632666893,0.013283378746594,103986
2019-08-31,"Tulsa","OK","Tulsa","Tulsa County",46,904,0.00444444444444444,0.0157303370786517,0.0191657271702368,141494
2019-08-31,"Minneapolis","MN","Minneapolis-St. Paul-Bloomington","Hennepin County",47,1615,0.0031055900621118,0.0150848522941546,0.00748596381784155,121857
2019-08-31,"Honolulu","HI","Urban Honolulu","Honolulu County",48,2411,-0.000828843762950684,0.00249480249480249,-0.00413052457662123,127719
2019-08-31,"Cleveland","OH","Cleveland-Elyria","Cuyahoga County",49,930,0,0.00867678958785249,0.0391061452513966,121785
2019-08-31,"New Orleans","LA","New Orleans-Metairie","Orleans Parish",50,1448,0.00416088765603329,0.0125874125874126,0.0291400142146411,112748
2019-08-31,"Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",51,1304,0,0.00307692307692308,0.00850734725444702,96884
2019-08-31,"Knoxville","TN","Knoxville","Knox County",52,1162,0.00345423143350604,0.0201931518876207,0.0554041780199818,76382
2019-08-31,"Baton Rouge","LA","Baton Rouge","East Baton Rouge Parish",53,1174,-0.00760777683854607,-0.00592718035563082,0,131612
2019-08-31,"Wichita","KS","Wichita","Sedgwick County",54,828,0.00485436893203883,0.010989010989011,0.00607533414337789,132549
2019-08-31,"Tampa","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",55,1479,0.00543847722637661,0.0192970365265334,0.0467091295116773,125188
2019-08-31,"Aurora","CO","Denver-Aurora-Lakewood","Arapahoe County",56,1650,0.00243013365735115,0.00671140939597316,0.0122699386503067,106025
2019-08-31,"Riverside","CA","Riverside-San Bernardino-Ontario","Riverside County",57,2043,0.00590841949778434,0.0194610778443114,0.0547237996902426,68776
2019-08-31,"Bakersfield","CA","Bakersfield","Kern County",58,1222,0.00576131687242798,0.0208855472013367,0.0312236286919831,101439
2019-08-31,"Cincinnati","OH","Cincinnati","Hamilton County",59,1180,0.00854700854700855,0.0216450216450216,0.0305676855895197,94961
2019-08-31,"Pittsburgh","PA","Pittsburgh","Allegheny County",60,1274,-0.000784313725490196,0.00870942201108472,0.0249396621078037,123897
2019-08-31,"Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange County",61,2458,0.00285597715218278,0.00285597715218278,-0.00726978998384491,63958
2019-08-31,"Santa Ana","CA","Los Angeles-Long Beach-Anaheim","Orange County",62,2435,0.0028830313014827,-0.000410509031198686,-0.0371688414393041,49412
2019-08-31,"Columbia","SC","Columbia","Richland County",63,1018,0.000983284169124877,-0.00098135426889107,0.0109235352532274,36606
2019-08-31,"Islip","NY","New York-Newark-Jersey City","Suffolk County",64,2552,0.00275049115913556,0.00196309383588536,0.0248995983935743,4539
2019-08-31,"Marietta","GA","Atlanta-Sandy Springs-Roswell","Cobb County",65,1453,0.00484094052558783,0.0160839160839161,0.0232394366197183,99890
2019-08-31,"Vancouver","WA","Portland-Vancouver-Hillsboro","Clark County",66,1609,0.00625390869293308,0.0196451204055767,0.0157828282828283,51055
2019-08-31,"Corpus Christi","TX","Corpus Christi","Nueces County",67,1309,0.00306513409961686,0.0155159038013964,0.00614911606456572,91856
2019-08-31,"Saint Louis","MO","St. Louis","Saint Louis City",68,889,0.0102272727272727,0.0301274623406721,0.031322505800464,113507
2019-08-31,"Greensboro","NC","Greensboro-High Point","Guilford County",69,927,0.0120087336244541,0.03,0.0474576271186441,108610
2019-08-31,"Lexington","KY","Lexington-Fayette","Fayette County",70,1064,0.00472143531633617,0.0201342281879195,0.0462143559488692,104794
2019-08-31,"Fort Wayne","IN","Fort Wayne","Allen County",71,972,0.0125,0.0329436769394261,0.0156739811912226,92986
2019-08-31,"Silver Spring","MD","Washington-Arlington-Alexandria","Montgomery County",72,1831,0.00438837081733406,0.0155296727676095,0.0116022099447514,80950
2019-08-31,"Toledo","OH","Toledo","Lucas County",73,842,0.00597371565113501,0.0144578313253012,0.0280830280830281,99865
2019-08-31,"Anchorage","AK","Anchorage","Anchorage Borough",74,1589,0.00189155107187894,0.0101716465352829,0.00126023944549464,87520
2019-08-31,"Saint Paul","MN","Minneapolis-St. Paul-Bloomington","Ramsey County",75,1380,0.00509832483612527,0.0169491525423729,0.0147058823529412,77436
2019-08-31,"Naples","FL","Naples-Immokalee-Marco Island","Collier County",76,2814,-0.0363013698630137,-0.114815979867883,0.105263157894737,142888
2019-08-31,"Durham","NC","Durham-Chapel Hill","Durham County",77,1291,0.00623538581449727,0.0254169976171565,0.0495934959349593,81609
2019-08-31,"Tallahassee","FL","Tallahassee","Leon County",78,1054,0.00476644423260248,0.0193423597678917,0.0313111545988258,80522
2019-08-31,"Stockton","CA","Stockton-Lodi","San Joaquin County",79,1501,0.0121375590020229,0.021783526208305,0.0489168413696716,75489
2019-08-31,"Plano","TX","Dallas-Fort Worth-Arlington","Collin County",80,1503,-0.000664893617021277,0.00066577896138482,0.00400801603206413,75210
2019-08-31,"Newark","NJ","New York-Newark-Jersey City","Essex County",81,1547,0.00454545454545455,0.0130975769482646,0.0170940170940171,37119
2019-08-31,"Henderson","NV","Las Vegas-Henderson-Paradise","Clark County",82,1390,0.0072463768115942,0.0265878877400295,0.0659509202453988,107195
2019-08-31,"Lincoln","NE","Lincoln","Lancaster County",83,1038,0.000964320154291225,0.013671875,-0.00669856459330144,84137
2019-08-31,"Modesto","CA","Modesto","Stanislaus County",84,1514,0.0154258886653253,0.0334470989761092,0.0587412587412587,70485
2019-08-31,"Reno","NV","Reno","Washoe County",85,1567,0.00448717948717949,0.0155541153596889,0.0405046480743692,81900
2019-08-31,"Spokane","WA","Spokane-Spokane Valley","Spokane County",86,1233,0.0032546786004882,0.0123152709359606,0.0431472081218274,79925
2019-08-31,"Chandler","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",87,1443,0.0105042016806723,0.0307142857142857,0.0657311669128508,90715
2019-08-31,"Lubbock","TX","Lubbock","Lubbock County",88,1013,0.000988142292490119,0.013,-0.00295275590551181,76420
2019-08-31,"Jersey City","NJ","New York-Newark-Jersey City","Hudson County",89,2136,0.0084985835694051,0.0234786775275515,0.0409356725146199,59023
2019-08-31,"Buffalo","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",90,969,0.00206825232678387,0.0189274447949527,0.0157232704402516,70482
2019-08-31,"Mobile","AL","Mobile","Mobile County",91,898,0.0112612612612613,0.0216154721274175,0.018140589569161,84985
2019-08-31,"Hialeah","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",92,1760,0.00113765642775882,0.00744132799084144,0.0377358490566038,54376
2019-08-31,"San Bernardino","CA","Riverside-San Bernardino-Ontario","San Bernardino County",93,1659,0.00545454545454545,0.0165441176470588,0.0460277427490542,50668
2019-08-31,"Chula Vista","CA","San Diego-Carlsbad","San Diego County",94,2387,0.00589970501474926,0.0161770966368668,0.0351257588898526,57632
2019-08-31,"Saint Petersburg","FL","Tampa-St. Petersburg-Clearwater","Pinellas County",95,1438,0.00629811056682995,0.0213068181818182,0.040520984081042,104633
2019-08-31,"Pensacola","FL","Pensacola-Ferry Pass-Brent","Escambia County",96,1087,0.00648148148148148,0.0254716981132075,0.0573929961089494,94853
2019-08-31,"Lawrenceville","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County",97,1408,0.00427960057061341,0.0100430416068867,0.0202898550724638,72976
2019-08-31,"Madison","WI","Madison","Dane County",98,1359,0,-0.00585223116313094,0.000736377025036819,74776
2019-08-31,"Winston-Salem","NC","Winston-Salem","Forsyth County",99,924,0.0065359477124183,0.024390243902439,0.0511945392491468,77904
2019-08-31,"Norfolk","VA","Virginia Beach-Norfolk-Newport News","Norfolk City",100,1207,0.00332502078137988,0.00919732441471572,0.0134340890008396,64129
2019-08-31,"Glendale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",101,1272,0.00792393026941363,0.0216867469879518,0.0434782608695652,68251
2019-08-31,"Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",102,1970,0.00407747196738022,0.0201967892283791,0.0956618464961068,117750
2019-08-31,"Fayetteville","NC","Fayetteville","Cumberland County",103,848,0.00355029585798817,0.00952380952380952,0.029126213592233,83156
2019-08-31,"Boise","ID","Boise City","Ada County",104,1418,0.0135811293781272,0.0357925493060628,0.0597907324364723,77823
2019-08-31,"Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",105,2933,0.00239234449760766,0.00825025782055689,0.0155817174515235,73690
2019-08-31,"Laredo","TX","Laredo","Webb County",106,1080,0.0150375939849624,0.027592768791627,0.0179076343072573,52080
2019-08-31,"Sarasota","FL","North Port-Sarasota-Bradenton","Sarasota County",107,1747,-0.00399087799315849,-0.0113186191284663,0.0294637595757219,66943
2019-08-31,"Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",108,1462,0.00343170899107756,0.00412087912087912,-0.00679347826086957,76940
2019-08-31,"Fort Myers","FL","Cape Coral-Fort Myers","Lee County",109,1550,-0.00193174500965873,0.00129198966408269,0.036096256684492,115370
2019-08-31,"Garland","TX","Dallas-Fort Worth-Arlington","Dallas County",110,1257,0.00319233838786911,0.00721153846153846,0.0261224489795918,64084
2019-08-31,"Spring","TX","Houston-The Woodlands-Sugar Land","Harris County",111,1366,0.00515084621044886,0.0171258376768429,-0.0137184115523466,50676
2019-08-31,"Gilbert","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",112,1473,0.0116758241758242,0.0264808362369338,0.0544022906227631,79665
2019-08-31,"North Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",113,1232,0.0106644790812141,0.0352941176470588,0.0538922155688623,71796
2019-08-31,"Fremont","CA","San Francisco-Oakland-Hayward","Alameda County",114,3044,-0.000328407224958949,0.00197498354180382,0.0160213618157543,60433
2019-08-31,"Santa Clarita","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",115,2572,0.0031201248049922,0.0046875,0.0206349206349206,56534
2019-08-31,"Fontana","CA","Riverside-San Bernardino-Ontario","San Bernardino County",116,1911,0.00473186119873817,0.011646373742721,0.027972027972028,48489
2019-08-31,"Irving","TX","Dallas-Fort Worth-Arlington","Dallas County",117,1467,0.00136518771331058,0.00617283950617284,0.019457956914524,42806
2019-08-31,"Arlington","VA","Washington-Arlington-Alexandria","Arlington County",118,2279,0.00352267723469837,0.0178651183564091,0.0238095238095238,63940
2019-08-31,"Springfield","MO","Springfield","Greene County",119,719,0.00559440559440559,0.016973125884017,0.0271428571428571,76630
2019-08-31,"Birmingham","AL","Birmingham-Hoover","Jefferson County",120,871,0.00230149597238205,-0.00114678899082569,-0.00114678899082569,80192
2019-08-31,"Greenville","SC","Greenville-Anderson-Mauldin","Greenville County",121,1142,0.00263388937664618,0.0187332738626227,0.0712945590994371,67127
2019-08-31,"Santa Rosa","CA","Santa Rosa","Sonoma County",122,2587,0.00427018633540373,0.0011609907120743,-0.0386473429951691,57526
2019-08-31,"Oxnard","CA","Oxnard-Thousand Oaks-Ventura","Ventura County",123,2497,0.0072609923356192,0.0162800162800163,0.0080742834073476,40663
2019-08-31,"Richmond","VA","Richmond","Richmond City",124,1243,0.00729335494327391,0.0289735099337748,0.0105691056910569,69916
2019-08-31,"Des Moines","IA","Des Moines-West Des Moines","Polk County",125,1113,0.000899280575539568,0.0036068530207394,-0.0035810205908684,68411
2019-08-31,"Ocala","FL","Ocala","Marion County",126,1127,0.010762331838565,0.0292237442922374,0.0552434456928839,78308
2019-08-31,"Boca Raton","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",127,2240,0.0026857654431513,0.0108303249097473,0.0317825886688162,105716
2019-08-31,"Shreveport","LA","Shreveport-Bossier City","Caddo Parish",128,867,0,0.0260355029585799,0.0483675937122128,69774
2019-08-31,"Woodbridge","VA","Washington-Arlington-Alexandria","Prince William County",129,1858,0.00432432432432432,0.0141921397379913,0.0175246440306681,60405
2019-08-31,"Rochester","NY","Rochester","Monroe County",130,1066,0.00946969696969697,0.0152380952380952,0.0162059103908484,55818
2019-08-31,"Montgomery","AL","Montgomery","Montgomery County",131,808,0.00248138957816377,0.01,0.00123915737298637,77044
2019-08-31,"Bradenton","FL","North Port-Sarasota-Bradenton","Manatee County",132,1563,-0.0012779552715655,-0.00191570881226054,0.0426951300867245,93969
2019-08-31,"Corona","CA","Riverside-San Bernardino-Ontario","Riverside County",133,2219,0.00316455696202532,0.00909504320145521,0.0239963082602677,48230
2019-08-31,"Oceanside","CA","San Diego-Carlsbad","San Diego County",134,2355,0.00383631713554987,0.0212489158716392,0.0369881109643329,50570
2019-08-31,"Tacoma","WA","Seattle-Tacoma-Bellevue","Pierce County",135,1623,0.00682382133995037,0.0226843100189036,0.0370607028753994,66363
2019-08-31,"Grand Rapids","MI","Grand Rapids-Wyoming","Kent County",136,1348,0.0112528132033008,0.0297937356760886,0.054773082942097,70164
2019-08-31,"Gainesville","FL","Gainesville","Alachua County",137,1147,0.00702370500438982,0.0168439716312057,0.0465328467153285,56945
2019-08-31,"Yonkers","NY","New York-Newark-Jersey City","Westchester County",138,2223,-0.000898876404494382,0.00588235294117647,0.0446428571428571,30439
2019-08-31,"Glendale","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",139,2723,0.00110294117647059,0.00516795865633075,0.0232995114618564,39088
2019-08-31,"Augusta","GA","Augusta-Richmond County","Richmond County",140,892,0.0113378684807256,0.0481786133960047,0.142125480153649,61479
2019-08-31,"Moreno Valley","CA","Riverside-San Bernardino-Ontario","Riverside County",141,1756,0.00572737686139748,0.0162037037037037,0.0427553444180523,45560
2019-08-31,"Akron","OH","Akron","Summit County",142,795,0,0.00632911392405063,0.0166240409207161,70738
2019-08-31,"Aurora","IL","Chicago-Naperville-Elgin","Kane County",143,1392,0.000718907260963336,0.00796524257784214,0.00942712110224801,52989
2019-08-31,"Wilmington","NC","Wilmington","New Hanover County",144,1330,0.000752445447705041,0.000752445447705041,0.0572337042925278,64071
2019-08-31,"Huntington Beach","CA","Los Angeles-Long Beach-Anaheim","Orange County",145,2707,-0.0011070110701107,-0.0109609061015711,-0.0387073863636364,62136
2019-08-31,"Huntsville","AL","Huntsville","Madison County",146,1007,0.00901803607214429,0.0212981744421907,0.0489583333333333,63841
2019-08-31,"Amarillo","TX","Amarillo","Potter County",147,796,0.00125786163522013,-0.00748129675810474,-0.0787037037037037,61948
2019-08-31,"Eugene","OR","Eugene","Lane County",148,1456,0.00761245674740484,0.0297029702970297,0.0444763271162123,54203
2019-08-31,"Salt Lake City","UT","Salt Lake City","Salt Lake County",149,1510,0.00599600266489007,0.01546738399462,0.0314207650273224,57656
2019-08-31,"Port Saint Lucie","FL","Port St. Lucie","Saint Lucie County",150,1502,0.00267022696929239,0.0128118678354686,0.0337233310392292,82596
2019-08-31,"Salinas","CA","Salinas","Monterey County",151,2358,0.0181347150259067,0.0328515111695138,0.00985010706638116,34437
2019-08-31,"Little Rock","AR","Little Rock-North Little Rock-Conway","Pulaski County",152,859,-0.00116279069767442,0.00821596244131455,0.0105882352941176,68615
2019-08-31,"Fort Collins","CO","Fort Collins","Larimer County",153,1668,0.000599880023995201,0.0072463768115942,0.0170731707317073,59778
2019-08-31,"Hayward","CA","San Francisco-Oakland-Hayward","Alameda County",154,2760,-0.00144717800289436,-0.00252981568485725,0.00108813928182807,39917
2019-08-31,"Brownsville","TX","Brownsville-Harlingen","Cameron County",155,860,-0.00232018561484919,0.00233100233100233,0.0399032648125756,48119
2019-08-31,"Rockford","IL","Rockford","Winnebago County",156,906,-0.00548847420417124,-0.0033003300330033,0.0145576707726764,60438
2019-08-31,"Evansville","IN","Evansville","Vanderburgh County",157,861,0.0141342756183746,0.0386007237635706,0.0274463007159905,70306
2019-08-31,"Worcester","MA","Worcester","Worcester County",158,1404,0.0014265335235378,0.00862068965517241,0.050112191473448,44198
2019-08-31,"Overland Park","KS","Kansas City","Johnson County",159,1346,0.00522778192681105,0.0243531202435312,0.0507416081186573,57068
2019-08-31,"Lancaster","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",160,1904,0.00847457627118644,0.0236559139784946,0.0684624017957351,47949
2019-08-31,"Salem","OR","Salem","Marion County",161,1414,0.00784034212401996,0.0216763005780347,0.0552238805970149,42917
2019-08-31,"Garden Grove","CA","Los Angeles-Long Beach-Anaheim","Orange County",162,2453,0.00245198201879853,0.000815993472052224,-0.011285771866183,35136
2019-08-31,"Grand Prairie","TX","Dallas-Fort Worth-Arlington","Dallas County",163,1300,0.00154083204930663,0.00386100386100386,0.0244286840031521,45165
2019-08-31,"Beaverton","OR","Portland-Vancouver-Hillsboro","Washington County",164,1531,-0.0135309278350515,-0.0109819121447028,-0.0371069182389937,33663
2019-08-31,"Escondido","CA","San Diego-Carlsbad","San Diego County",165,2311,0.00741063644289451,0.0316964285714286,0.0566986739826246,31796
2019-08-31,"Providence","RI","Providence-Warwick","Providence County",166,1398,0,0.00647948164146868,0.0108459869848156,38190
2019-08-31,"Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",167,1905,0.00315955766192733,0.00793650793650794,0.0432639649507119,88024
2019-08-31,"Ontario","CA","Riverside-San Bernardino-Ontario","San Bernardino County",168,2088,0.00432900432900433,0.00723589001447178,0.011138014527845,33341
2019-08-31,"Columbus","GA","Columbus","Muscogee County",169,788,0.00254452926208651,0.0167741935483871,0.0141570141570142,56803
2019-08-31,"Sioux Falls","SD","Sioux Falls","Minnehaha County",170,978,0.00410677618069815,0.01875,-0.00710659898477157,45910
2019-08-31,"Charleston","SC","Charleston-North Charleston","Charleston County",171,1720,0,0.00408639813193228,0.0348977135980746,66364
2019-08-31,"Kissimmee","FL","Orlando-Kissimmee-Sanford","Osceola County",172,1437,0.00700770847932726,0.0220483641536273,0.0353025936599424,20092
2019-08-31,"Chattanooga","TN","Chattanooga","Hamilton County",173,1170,0,0.0094909404659189,0.0588235294117647,58233
2019-08-31,"Tempe","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",174,1489,0.0101763907734057,0.0325936199722607,0.0590327169274538,46855
2019-08-31,"Murfreesboro","TN","Nashville-Davidson--Murfreesboro--Franklin","Rutherford County",175,1298,0.0062015503875969,0.0148553557466771,0.00933125972006221,58130
2019-08-31,"Rancho Cucamonga","CA","Riverside-San Bernardino-Ontario","San Bernardino County",176,2218,0.00452898550724638,0.00955848884842968,0.0164986251145738,45107
2019-08-31,"Cape Coral","FL","Cape Coral-Fort Myers","Lee County",177,1439,0.000695410292072323,0.00629370629370629,0.0126671358198452,85223
2019-08-31,"Savannah","GA","Savannah","Chatham County",178,1261,0.00638467677573823,0.0277098614506927,0.0319148936170213,46121
2019-08-31,"Fredericksburg","VA","Washington-Arlington-Alexandria","Spotsylvania County",179,1334,0.00755287009063444,0.015993907083016,0.0175438596491228,61328
2019-08-31,"Killeen","TX","Killeen-Temple","Bell County",180,829,0.0036319612590799,0.0134474327628362,0.0184275184275184,46153
2019-08-31,"Palmdale","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",181,1983,0.00455927051671732,0.017444843509492,0.0718918918918919,46279
2019-08-31,"Roanoke","VA","Roanoke","Roanoke City",182,1001,-0.000998003992015968,-0.00298804780876494,0.0203873598369011,65171
2019-08-31,"Newport News","VA","Virginia Beach-Norfolk-Newport News","Newport News City",183,1093,-0.000914076782449726,-0.0108597285067873,0.0148560817084494,49424
2019-08-31,"El Cajon","CA","San Diego-Carlsbad","San Diego County",184,2322,0.00825010855405992,0.0256183745583039,0.0468890892696123,35728
2019-08-31,"Clarksville","TN","Clarksville","Montgomery County",185,936,0.00537056928034372,0.0118918918918919,-0.00636942675159236,65356
2019-08-31,"Jackson","MS","Jackson","Hinds County",186,837,-0.00119331742243437,-0.00475624256837099,-0.0368239355581128,56360
2019-08-31,"Elk Grove","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",187,1787,0.00676056338028169,0.0159181353041501,0.0371445153801509,48745
2019-08-31,"Peoria","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",188,1324,0.0076103500761035,0.0239752513534416,0.0524642289348172,58489
2019-08-31,"Sugar Land","TX","Houston-The Woodlands-Sugar Land","Fort Bend County",189,1723,0.000580720092915215,0.000580720092915215,-0.000580046403712297,49330
2019-08-31,"Naperville","IL","Chicago-Naperville-Elgin","DuPage County",190,1683,0.00178571428571429,0.0102040816326531,0.0102040816326531,54150
2019-08-31,"Fairfax","VA","Washington-Arlington-Alexandria","Fairfax County",191,2119,0.00760817879220162,0.0241662638956017,0.0231772090777402,46450
2019-08-31,"Boynton Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",192,1758,0.00170940170940171,0,0.00860585197934595,77232
2019-08-31,"Topeka","KS","Topeka","Shawnee County",193,801,0.0037593984962406,0.0113636363636364,-0.014760147601476,59053
2019-08-31,"McKinney","TX","Dallas-Fort Worth-Arlington","Collin County",194,1471,0.0027266530334015,0.00822481151473612,0.00891632373113855,46993
2019-08-31,"Lafayette","LA","Lafayette","Lafayette Parish",195,1065,-0.0202391904323827,-0.0282846715328467,0.0142857142857143,49647
